Date,Open,High,Low,Close,Adj Close,Volume,SMA20,SMA30,SMA50,SMA100,signal,OpenInterest
2024-05-08,2313.60009765625,2313.60009765625,2313.60009765625,2313.60009765625,2313.60009765625,4,2337.714990234375,2319.116658528646,2249.6319921875,,1,0.0
2024-05-09,2310.699951171875,2339.5,2310.699951171875,2332.10009765625,2332.10009765625,5,2336.5799926757813,2323.8333251953127,2255.613994140625,,1,0.0
2024-05-10,2367.300048828125,2367.300048828125,2367.300048828125,2367.300048828125,2367.300048828125,126,2337.1349975585936,2328.8299967447915,2262.04599609375,,1,0.0
2024-05-13,2358.300048828125,2358.300048828125,2336.10009765625,2336.10009765625,2336.10009765625,14,2335.65,2332.15,2267.03,,1,0.0
2024-05-14,2336.0,2358.0,2336.0,2353.39990234375,2353.39990234375,6,2333.779992675781,2335.2299967447916,2271.7439990234375,,1,0.0
2024-05-15,2361.60009765625,2388.699951171875,2356.0,2388.699951171875,2388.699951171875,29,2334.629992675781,2338.373331705729,2276.847998046875,,1,0.0
2024-05-16,2389.5,2392.199951171875,2380.0,2380.0,2380.0,7,2334.514990234375,2341.413330078125,2281.4419970703125,,1,0.0
2024-05-17,2380.699951171875,2415.800048828125,2380.699951171875,2412.199951171875,2412.199951171875,213,2335.2049926757813,2344.296663411458,2286.52599609375,,1,0.0
2024-05-20,2415.800048828125,2435.800048828125,2409.699951171875,2433.89990234375,2433.89990234375,40,2340.289990234375,2347.703328450521,2291.6319921875,,1,0.0
2024-05-21,2429.5,2429.5,2421.0,2421.699951171875,2421.699951171875,6,2344.989990234375,2350.309993489583,2296.4159912109376,,1,0.0
2024-05-22,2417.5,2417.60009765625,2375.800048828125,2389.199951171875,2389.199951171875,180,2348.224987792969,2352.2966552734374,2300.9919921875,,1,0.0
2024-05-23,2371.199951171875,2371.199951171875,2335.0,2335.0,2335.0,365,2348.4849853515625,2351.636653645833,2304.183994140625,2176.456990966797,1,0.0
2024-05-24,2342.60009765625,2345.39990234375,2332.5,2332.5,2332.5,25,2348.369982910156,2350.8466552734376,2307.573994140625,2179.1379919433593,1,0.0
2024-05-28,2336.89990234375,2359.699951171875,2336.89990234375,2355.199951171875,2355.199951171875,26,2348.8599853515625,2350.4933186848957,2311.5319921875,2182.3479919433594,1,0.0
2024-05-29,2340.300048828125,2340.300048828125,2340.300048828125,2340.300048828125,2340.300048828125,119317,2351.3049926757812,2348.8099853515623,2315.123994140625,2185.3279919433594,1,0.0
2024-05-30,2336.89990234375,2349.5,2320.800048828125,2342.89990234375,2342.89990234375,32587,2353.4549926757813,2347.8499837239583,2318.8559912109376,2188.332990722656,1,0.0
2024-05-31,2344.10009765625,2354.0,2319.0,2322.89990234375,2322.89990234375,941,2354.639990234375,2345.869978841146,2322.1559912109374,2191.2959899902344,1,0.0
2024-06-03,2322.60009765625,2347.5,2312.0,2346.60009765625,2346.60009765625,781,2357.0199951171876,2344.143318684896,2325.4399951171877,2194.497990722656,1,0.0
2024-06-04,2347.5,2347.699951171875,2313.89990234375,2325.5,2325.5,890,2357.214990234375,2343.919986979167,2328.7879931640623,2197.5359912109375,1,0.0
2024-06-05,2326.39990234375,2354.300048828125,2326.199951171875,2354.10009765625,2354.10009765625,295,2359.1599975585937,2344.7999918619794,2332.373994140625,2200.933991699219,1,0.0
2024-06-06,2355.0,2375.800048828125,2355.0,2370.300048828125,2370.300048828125,179,2361.9949951171875,2346.32666015625,2336.2679931640623,2204.169992675781,1,0.0
2024-06-07,2379.89990234375,2385.10009765625,2285.39990234375,2305.199951171875,2305.199951171875,269,2360.6499877929687,2345.506656901042,2338.559990234375,2206.9619921875,1,0.0
2024-06-10,2290.60009765625,2309.300048828125,2290.5,2307.699951171875,2307.699951171875,69,2357.6699829101562,2344.6033203125,2340.3659912109374,2210.0129919433593,1,0.0
2024-06-11,2300.0,2314.10009765625,2300.0,2307.5,2307.5,871,2356.2399780273436,2343.339990234375,2341.7859912109375,2212.9019921875,1,0.0
2024-06-12,2314.89990234375,2338.699951171875,2310.300048828125,2336.0,2336.0,132,2355.369982910156,2344.82666015625,2343.2859912109375,2215.9969921875,1,0.0
2024-06-13,2309.39990234375,2317.699951171875,2296.199951171875,2300.199951171875,2300.199951171875,298,2350.9449829101563,2344.836661783854,2343.4019921875,2218.8009912109374,1,0.0
2024-06-14,2307.0,2331.39990234375,2305.800048828125,2331.39990234375,2331.39990234375,948,2348.5149780273437,2345.9099934895835,2344.2539892578125,2221.8779907226562,1,0.0
2024-06-17,2320.199951171875,2320.199951171875,2309.60009765625,2312.39990234375,2312.39990234375,110,2343.5249755859377,2346.356656901042,2343.98798828125,2224.862989501953,0,-1.0
2024-06-18,2311.800048828125,2330.39990234375,2311.800048828125,2330.39990234375,2330.39990234375,43,2338.3499755859375,2346.6499837239585,2343.9619873046877,2227.99798828125,0,0.0
2024-06-20,2328.89990234375,2354.0,2328.300048828125,2353.800048828125,2353.800048828125,183,2334.95498046875,2347.9366536458333,2344.16798828125,2231.36798828125,0,0.0
2024-06-21,2331.199951171875,2331.199951171875,2316.39990234375,2316.39990234375,2316.39990234375,76,2331.314978027344,2348.02998046875,2343.903984375,2234.2799877929688,0,0.0
2024-06-24,2323.300048828125,2332.89990234375,2322.699951171875,2330.0,2330.0,99,2331.064978027344,2347.9599772135416,2343.4079833984374,2237.264987792969,0,0.0
2024-06-25,2324.39990234375,2333.0,2316.60009765625,2316.60009765625,2316.60009765625,105,2330.269982910156,2346.269978841146,2342.615986328125,2239.9469897460935,0,0.0
2024-06-26,2307.89990234375,2314.39990234375,2298.0,2299.199951171875,2299.199951171875,986,2327.4699829101564,2345.039973958333,2341.283984375,2242.4089892578127,0,0.0
